State,% Democrat
Alabama,38.74
Alaska,37.89
Arizona,45.12
Arkansas,38.86
California,61.01
Colorado,53.66
Connecticut,60.59
Delaware,61.94
District of Columbia,92.46
Florida,51.03
Georgia,46.99
Hawaii,71.85
Idaho,36.1
Illinois,61.92
Indiana,49.95
Iowa,53.93
Kansas,41.65
Kentucky,41.17
Louisiana,39.93
Maine,57.71
Maryland,61.92
Massachusetts,61.8
Michigan,57.43
Minnesota,54.06
Mississippi,43
Missouri,49.29
Montana,47.27
Nebraska,41.6
Nevada,55.15
New Hampshire,54.13
New Jersey,57.27
New Mexico,56.91
New York,62.8
North Carolina,49.7
North Dakota,44.62
Ohio,51.48
Oklahoma,34.35
Oregon,56.75
Pennsylvania,54.65
Rhode Island,63.13
South Carolina,44.9
South Dakota,44.75
Tennessee,41.83
Texas,43.68
Utah,34.41
Vermont,67.46
Virginia,52.63
Washington,57.65
West Virginia,42.59
Wisconsin,56.22
Wyoming,32.54
